formattedTime-value
Oct 1, 2022 at 7:00 AM-74.53571428571429
Jan 1, 2022 at 7:00 AM-50.05952380952381
Jan 8, 2022 at 7:00 AM-68.1547619047619
Jan 15, 2022 at 7:00 AM-35.892857142857146
Jan 22, 2022 at 7:00 AM-56.73809523809524
Jan 29, 2022 at 7:00 AM-59.49404761904762
Feb 5, 2022 at 7:00 AM-68.72619047619048
Feb 12, 2022 at 7:00 AM-68.70238095238095
Feb 19, 2022 at 7:00 AM-45.154761904761905
Feb 26, 2022 at 7:00 AM-58.392857142857146
Mar 5, 2022 at 7:00 AM-70.73214285714286
Mar 12, 2022 at 7:00 AM-75.75595238095238
Mar 19, 2022 at 7:00 AM-74.13690476190476
Mar 26, 2022 at 7:00 AM-60.73809523809524
Apr 2, 2022 at 7:00 AM-73.89880952380952
Apr 9, 2022 at 7:00 AM-63.05952380952381
Apr 16, 2022 at 7:00 AM-76.67261904761905
Apr 23, 2022 at 7:00 AM-71.73214285714286
Apr 30, 2022 at 7:00 AM-48.73809523809524
May 7, 2022 at 7:00 AM-48.273809523809526
May 14, 2022 at 7:00 AM-76.83333333333333
May 21, 2022 at 7:00 AM-68.25
May 28, 2022 at 7:00 AM-70.92261904761905
Jun 4, 2022 at 7:00 AM-73.85119047619048
Jun 11, 2022 at 7:00 AM-48.654761904761905
Jun 18, 2022 at 7:00 AM-41.226190476190474
Jun 25, 2022 at 7:00 AM-64.41666666666667
Jul 2, 2022 at 7:00 AM-77.8452380952381
Jul 9, 2022 at 7:00 AM-76.48214285714286
Jul 16, 2022 at 7:00 AM-63.726190476190474
Jul 23, 2022 at 7:00 AM-75.86309523809524
Jul 30, 2022 at 7:00 AM-81.17857142857143
Aug 6, 2022 at 7:00 AM-75.48214285714286
Aug 13, 2022 at 7:00 AM-67.54166666666667
Aug 20, 2022 at 7:00 AM-70.29761904761905
Aug 27, 2022 at 7:00 AM-75.63690476190476
Sep 3, 2022 at 7:00 AM-68.89285714285714
Sep 10, 2022 at 7:00 AM-69.4047619047619
Sep 17, 2022 at 7:00 AM-63.36309523809524
Sep 24, 2022 at 7:00 AM-77.73809523809524
Oct 1, 2022 at 7:00 AM-74.5
